DATE,prob_percent
2026-03-16,0.01
2026-03-17,0.01
2026-03-18,0.05
2026-03-19,0.19
2026-03-20,0.21
2026-03-21,0.32
2026-03-22,0.54
2026-03-23,0.82
2026-03-24,1.2
2026-03-25,1.61
2026-03-26,2.37
2026-03-27,3.5
2026-03-28,5.06
2026-03-29,5.69
2026-03-30,7.03
2026-03-31,8.49
2026-04-01,9.72
2026-04-02,9.19
2026-04-03,9.26
2026-04-04,8.15
2026-04-05,6.91
2026-04-06,5.93
2026-04-07,4.17
2026-04-08,3.13
2026-04-09,1.96
2026-04-10,1.49
2026-04-11,0.76
2026-04-12,0.64
2026-04-13,0.36
2026-04-14,0.35
2026-04-15,0.32
2026-04-16,0.2
2026-04-17,0.15
2026-04-18,0.06
2026-04-19,0.06
2026-04-20,0.05
2026-04-21,0.02
2026-04-23,0.01
2026-04-24,0.01
