DATE,prob_percent
2026-03-15,0.01
2026-03-16,0.01
2026-03-17,0.03
2026-03-18,0.03
2026-03-19,0.15
2026-03-20,0.22
2026-03-21,0.3
2026-03-22,0.55
2026-03-23,0.71
2026-03-24,1.2
2026-03-25,1.75
2026-03-26,2.65
2026-03-27,3.88
2026-03-28,5.47
2026-03-29,7.17
2026-03-30,8.42
2026-03-31,9.42
2026-04-01,9.6
2026-04-02,9.33
2026-04-03,8.79
2026-04-04,7.4
2026-04-05,6.44
2026-04-06,5
2026-04-07,3.71
2026-04-08,2.64
2026-04-09,1.54
2026-04-10,1.28
2026-04-11,0.75
2026-04-12,0.34
2026-04-13,0.3
2026-04-14,0.27
2026-04-15,0.21
2026-04-16,0.1
2026-04-17,0.18
2026-04-18,0.04
2026-04-19,0.07
2026-04-20,0.01
2026-04-21,0.01
2026-04-22,0.02
